Event,Description,Time
Волта Редонда - Гонсаленсе,"['Бразилия. ', 'Кариока. ', 'Серия A2. ', 'Групповой этап']",26 мая 00:00
Мичиган Старз - Бэй Ситис,"['США. ', 'NISA']",26 мая 00:30
Колатина-ЭС - Реал Нороэсте,"['Бразилия. ', 'Капишаба. ', 'Кубок. ', 'Групповой этап']",26 мая 01:00
Лондрина - Операрио Ферровиарио,"['Бразилия. ', 'Серия B']",26 мая 01:00
Маклин - Христос,"['Женщины. ', 'США. ', 'W-лига']",26 мая 01:00
Коло Коло - Форталеза-СЕ,"['Кубок Либертадорес. ', 'Групповой этап']",26 мая 01:00
Ривер Плейт - Альянса Лима,"['Кубок Либертадорес. ', 'Групповой этап']",26 мая 01:00
ФК Майами Сити - Тампа-Бэй Юнайтед,"['США. ', 'USL. ', 'Лига 2']",26 мая 01:00
Ланус - Метрополитанос,"['Южноамериканский кубок. ', 'Групповой этап']",26 мая 01:15
Монтевидео Уондерерс - Барселона Гуаякиль,"['Южноамериканский кубок. ', 'Групповой этап']",26 мая 01:15
Сан-Паулу - Аякучо,"['Южноамериканский кубок. ', 'Групповой этап']",26 мая 01:15
Хорхе Вильстерманн - Эвертон Винья-дель-Мар,"['Южноамериканский кубок. ', 'Групповой этап']",26 мая 01:15
Серра-ЭС - Линьярис-ЭС,"['Бразилия. ', 'Капишаба. ', 'Кубок. ', 'Групповой этап']",26 мая 01:30
Аймореш - Бетин,"['Бразилия. ', 'Минейро. ', '2-й дивизион']",26 мая 01:30
Боа - Убераба,"['Бразилия. ', 'Минейро. ', '2-й дивизион']",26 мая 01:30
Демократа ФК - Тупи Минейро,"['Бразилия. ', 'Минейро. ', '2-й дивизион']",26 мая 01:30
Эстрела-ду-Норти - Нова Венеция-ЭС,"['Бразилия. ', 'Капишаба. ', 'Кубок. ', 'Групповой этап']",26 мая 02:00
Ипатинга - Варжинья,"['Бразилия. ', 'Минейро. ', '2-й дивизион']",26 мая 02:00
Ботафого-ПБ - Кампиненсе,"['Бразилия. ', 'Серия C']",26 мая 02:00
Гремио Анаполис - Бразильенсе,"['Бразилия. ', 'Серия D']",26 мая 02:00
Леонес - Льянерос Вильявисенсио,"['Колумбия. ', 'Примера B. ', 'Классификационный раунд. ', 'Матчи за 1-8 места']",26 мая 02:00
Сентрал Флорида Пантерз - Майами Датч Лайонз,"['США. ', 'NPSL']",26 мая 02:00
АК Коннектикут - Блэк Рок,"['США. ', 'USL. ', 'Лига 2']",26 мая 02:00
Лонг-Айленд Раф Райдерз - Гудзон Вэлли Хаммерс,"['США. ', 'USL. ', 'Лига 2']",26 мая 02:00
Шарлотт Индепенденс II - Тобакко Роуд,"['США. ', 'USL. ', 'Лига 2']",26 мая 02:00
Орландо Сити - Интер Майами,"['США. ', 'Открытый кубок. ', '1/8 финала']",26 мая 02:00
Трен-АП - Сан-Паулу-АП,"['Бразилия. ', 'Амапаенсе']",26 мая 02:15
Насьонал де Муриаэ - Униан Лузиэнси,"['Бразилия. ', 'Минейро. ', '2-й дивизион']",26 мая 02:15
Далтон Ред Вулвз - Пичтри Сити МОБА,"['США. ', 'USL. ', 'Лига 2']",26 мая 02:30
Мидуэст Юнайтед - Флинт Сити Бакс,"['США. ', 'USL. ', 'Лига 2']",26 мая 02:30
Академия СИЭКС - Коста-дель-Эсте,"['Женщины. ', 'Панама. ', 'LFF']",26 мая 03:00
Индепенденте - Академия Марио Мендес,"['Женщины. ', 'Панама. ', 'LFF']",26 мая 03:00
Чикаго Датч Лайонс - Чикаго Сити,"['Женщины. ', 'США. ', 'W-лига']",26 мая 03:00
Дфитерс Кикс - Талса СК,"['Женщины. ', 'США. ', 'WPSL']",26 мая 03:00
Коринтианс СА - Сан-Антонио Серф,"['Женщины. ', 'США. ', 'WPSL']",26 мая 03:00
СаутСтар - ФК Даллас,"['Женщины. ', 'США. ', 'WPSL']",26 мая 03:00
Атлетико Минейро - Депортес Толима,"['Кубок Либертадорес. ', 'Групповой этап']",26 мая 03:00
Индепендьенте дель Валье - Америка Минейро,"['Кубок Либертадорес. ', 'Групповой этап']",26 мая 03:00
Пеньяроль - Колон Санта-Фе,"['Кубок Либертадорес. ', 'Групповой этап']",26 мая 03:00
Серро Портеньо - Олимпия Асунсьон,"['Кубок Либертадорес. ', 'Групповой этап']",26 мая 03:00
АФК Мобайл - Пенсакола,"['США. ', 'NPSL']",26 мая 03:00
Миннесота Твин Старз - Джой Ст. Луис Парк,"['США. ', 'NPSL']",26 мая 03:00
Альбион Харрикейнс Роялз - Корпус-Кристи,"['США. ', 'USL. ', 'Лига 2']",26 мая 03:00
Сидер Старз Раш - Нью-Джерси Копа,"['США. ', 'USL. ', 'Лига 2']",26 мая 03:00
Хьюстон ФК - Раунд Рок,"['США. ', 'USL. ', 'Лига 2']",26 мая 03:00
Миннесота Юнайтед - Юнион Омаха,"['США. ', 'Открытый кубок. ', '1/8 финала']",26 мая 03:00
Нью-Йорк Ред Буллз - Шарлотт ФК,"['США. ', 'Открытый кубок. ', '1/8 финала']",26 мая 03:00
Депортес Копьяпо - Унион Сан-Фелипе,"['Чили. ', 'Примера B']",26 мая 03:00
Имбабура - Атлетико Либертад,"['Эквадор. ', 'Серия B']",26 мая 03:00
Манта - Атлетико Санто-Доминго,"['Эквадор. ', 'Серия B']",26 мая 03:00
Демиз НПСЛ - Сент-Луис Атлетико,"['США. ', 'NPSL']",26 мая 03:30
Спортинг Канзас-Сити - Хьюстон Динамо,"['США. ', 'Открытый кубок. ', '1/8 финала']",26 мая 03:30
